start
start loop
293000 done, 3 embeddings failed
294000 done, 3 embeddings failed
295000 done, 3 embeddings failed
296000 done, 3 embeddings failed
297000 done, 3 embeddings failed
298000 done, 3 embeddings failed
299000 done, 3 embeddings failed
300000 done, 3 embeddings failed
301000 done, 3 embeddings failed
302000 done, 3 embeddings failed
303000 done, 3 embeddings failed
304000 done, 3 embeddings failed
305000 done, 3 embeddings failed
306000 done, 3 embeddings failed
307000 done, 3 embeddings failed
308000 done, 3 embeddings failed
309000 done, 3 embeddings failed
310000 done, 3 embeddings failed
311000 done, 3 embeddings failed
312000 done, 3 embeddings failed
313000 done, 3 embeddings failed
314000 done, 3 embeddings failed
315000 done, 3 embeddings failed
316000 done, 3 embeddings failed
317000 done, 3 embeddings failed
318000 done, 3 embeddings failed
319000 done, 3 embeddings failed
320000 done, 3 embeddings failed
321000 done, 3 embeddings failed
322000 done, 3 embeddings failed
323000 done, 3 embeddings failed
324000 done, 3 embeddings failed
325000 done, 3 embeddings failed
326000 done, 3 embeddings failed
327000 done, 3 embeddings failed
328000 done, 3 embeddings failed
329000 done, 3 embeddings failed
330000 done, 3 embeddings failed
331000 done, 3 embeddings failed
332000 done, 3 embeddings failed
333000 done, 3 embeddings failed
334000 done, 3 embeddings failed
335000 done, 3 embeddings failed
336000 done, 3 embeddings failed
337000 done, 3 embeddings failed
338000 done, 3 embeddings failed
339000 done, 3 embeddings failed
340000 done, 3 embeddings failed
341000 done, 3 embeddings failed
342000 done, 3 embeddings failed
343000 done, 3 embeddings failed
344000 done, 3 embeddings failed
345000 done, 3 embeddings failed
346000 done, 3 embeddings failed
347000 done, 3 embeddings failed
348000 done, 3 embeddings failed
349000 done, 3 embeddings failed
350000 done, 3 embeddings failed
351000 done, 3 embeddings failed
352000 done, 3 embeddings failed
353000 done, 3 embeddings failed
354000 done, 3 embeddings failed
355000 done, 3 embeddings failed
356000 done, 3 embeddings failed
357000 done, 3 embeddings failed
358000 done, 3 embeddings failed
359000 done, 3 embeddings failed
360000 done, 3 embeddings failed
361000 done, 3 embeddings failed
362000 done, 3 embeddings failed
363000 done, 3 embeddings failed
364000 done, 3 embeddings failed
365000 done, 3 embeddings failed
366000 done, 3 embeddings failed
367000 done, 3 embeddings failed
368000 done, 3 embeddings failed
369000 done, 3 embeddings failed
370000 done, 3 embeddings failed
371000 done, 3 embeddings failed
372000 done, 3 embeddings failed
373000 done, 3 embeddings failed
374000 done, 3 embeddings failed
375000 done, 3 embeddings failed
376000 done, 3 embeddings failed
377000 done, 3 embeddings failed
378000 done, 3 embeddings failed
379000 done, 3 embeddings failed
380000 done, 3 embeddings failed
381000 done, 3 embeddings failed
382000 done, 3 embeddings failed
383000 done, 3 embeddings failed
384000 done, 3 embeddings failed
385000 done, 3 embeddings failed
386000 done, 3 embeddings failed
387000 done, 3 embeddings failed
388000 done, 3 embeddings failed
389000 done, 3 embeddings failed
390000 done, 3 embeddings failed
391000 done, 3 embeddings failed
392000 done, 3 embeddings failed
393000 done, 3 embeddings failed
394000 done, 3 embeddings failed
395000 done, 3 embeddings failed
396000 done, 3 embeddings failed
397000 done, 3 embeddings failed
398000 done, 3 embeddings failed
399000 done, 3 embeddings failed
Done with 3 Exceptions

============================= JOB FEEDBACK =============================

NodeName=uc2n371
Job ID: 20499879
Cluster: uc2
User/Group: ucgvm/stud
State: COMPLETED (exit code 0)
Nodes: 1
Cores per node: 2
CPU Utilized: 00:09:30
CPU Efficiency: 44.05% of 00:21:34 core-walltime
Job Wall-clock time: 00:10:47
Memory Utilized: 704.35 MB
Memory Efficiency: 2.35% of 29.30 GB
